question,answer,contexts,ground_truth,question_type,topic
What is the best way to prevent abscess formation?,"Abscess formation can often be avoided by treating infections early, using heat for superficial infections or antibiotics as needed. It's even better to prevent the underlying infection altogether by promptly caring for open wounds, especially puncture wounds. Bites are considered the most dangerous type of wound in this regard.","Infections that are treated early with heat (if superficial) or antibiotics will often resolve without the formation of an abscess. It is even better to avoid infections altogether by taking prompt care of open injuries, particularly puncture wounds. Bites are the most dangerous of all, even more so because they often occur on the hand.","Abscesses can often be prevented by treating infections early (heat for superficial ones, antibiotics as needed) and by promptly caring for open wounds, especially puncture wounds and bites.",prevention,Abscess
Can antibiotics alone typically cure a fully formed abscess without drainage?,"No. Once an abscess has fully formed, it often does not respond well to antibiotics, since the lining of the abscess cavity limits how much drug can penetrate the infected area, and antibiotics don't function as effectively in that environment. The pus generally needs to be drained.","Because the lining of the abscess cavity tends to interfere with the amount of the drug that can penetrate the source of infection from the blood, the cavity itself may require draining. Once an abscess has fully formed, it often does not respond to antibiotics. Even if the antibiotic does penetrate into the abscess, it doesn't function as well in that environment.",No — a fully formed abscess often doesn't respond well to antibiotics alone; the pus typically needs to be drained by a physician.,yes_no,Abscess
"Roughly how many children witness domestic violence each year, and what proportion of women's ER visits are related to it?","Approximately three million children witness domestic violence every year. Additionally, about one-third of emergency room consultations by women are prompted by domestic violence.",It is estimated that approximately three million children witness domestic violence every year. ||| Approximately one-third of emergency room consultations by women were prompted due to domestic violence.,"About three million children witness domestic violence annually, and roughly one-third of women's emergency room visits are prompted by domestic violence.",epidemiology,Abuse
How does emotional abuse typically differ from physical abuse in terms of duration?,Emotional abuse generally continues even after physical assaults have stopped. It is usually a personally tailored form of verbal or gesture-based abuse meant to provoke a response from the victim.,Emotional abuse generally continues even after physical assaults have stopped. In most cases it is a personally tailored form of verbal or gesture abuse expressed to illicit a provoked response.,"Emotional abuse often persists even after physical abuse has ended, typically taking the form of personally tailored verbal or gestural abuse intended to provoke a reaction.",clinical_judgment,Abuse
"What commonly causes elder abuse, and what forms besides physical harm can it take?","Elder abuse is commonly caused by caretaker burnout, resulting from the high level of dependency that frail elderly patients often require. Beyond physical signs, it can involve fear, delayed or unreported need for medical care, financial abuse (money or possessions taken away), and abandonment.","Abuse in the elderly is common and occurs mostly as a result of caretaker burnout, due to the high level of dependency frail, elderly patients usually require. Abuse can be manifested by physical signs, fear, and delaying or not reporting the need for advanced medical care. Elderly patients may also exhibit financial abuse (money or possessions taken away) and abandonment.","Elder abuse often stems from caretaker burnout due to the high dependency needs of frail patients, and can manifest as physical signs, fear, delayed medical care, financial exploitation, or abandonment.",clinical_impact,Abuse
Is it safe to take acetaminophen for pain relief for longer than 10 days without consulting a doctor?,"No. Patients should not use acetaminophen for more than 10 days to relieve pain (or 5 days for children) or more than 3 days to reduce fever, unless a physician directs otherwise.","Patients should not use acetaminophen for more than 10 days to relieve pain (5 days for children) or for more than 3 days to reduce fever, unless directed to do so by a physician. If symptoms do not go away—or if they get worse—contact a physician.",No — acetaminophen shouldn't be used for more than 10 days for pain (5 days in children) or more than 3 days for fever without a physician's guidance.,yes_no,Acetaminophen
Why might a doctor advise a patient to stop taking acetaminophen a few days before certain medical tests?,"Acetaminophen can interfere with the results of some medical tests. To ensure accurate results, patients may need to check whether the drug will affect their test and avoid it for a few days beforehand.","Acetaminophen interferes with the results of some medical tests. Before having medical tests done, check to see whether taking acetaminophen will affect the results. Avoiding the drug for a few days before the tests may be necessary.","Because acetaminophen can interfere with certain medical test results, physicians may advise stopping it for a few days beforehand to ensure accuracy.",clinical_judgment,Acetaminophen
"Besides esophageal cancer, what respiratory complications can arise from achalasia?","Achalasia can cause a nighttime cough or recurrent pneumonia, resulting from food and liquid passing into the lower airways instead of the stomach.",Symptoms usually get steadily worse. Other symptoms may include nighttime cough or recurrent pneumonia caused by food passing into the lower airways.,"Achalasia can lead to nighttime cough or recurrent pneumonia, caused by food and liquid entering the lower airways (aspiration) instead of the stomach.",complication,Achalasia
Does drug therapy with nifedipine provide a permanent cure for achalasia?,"No. Nifedipine, a calcium-channel blocker, only provides temporary relief. Taken daily, it helps about two-thirds of patients for as long as two years, but it does not permanently resolve the underlying disorder.","Drug therapy. Nifedipine, a calcium-channel blocker, reduces muscle contraction. Taken daily, this drug provides relief for about two-thirds of patients for as long as two years.","No — nifedipine only offers temporary relief, helping about two-thirds of patients for up to two years, rather than curing achalasia permanently.",yes_no,Achalasia
"If a parent has achondroplasia, what is the chance their child will inherit it, and is inheritance the most common way the condition arises?","A parent with achondroplasia has a 50% chance of passing the condition to their child. However, although achondroplasia can be inherited, most cases actually occur due to a new spontaneous mutation in a gene rather than being passed down from a parent.","Achondroplasia is caused by a genetic defect. It is a dominant trait, meaning that anybody with the genetic defect will display all the symptoms of the disorder. A parent with the disorder has a 50% chance of passing it on to the offspring. Although achondroplasia can be passed on to subsequent offspring, the majority of cases occur due to a new mutation (change) in a gene.","A parent with achondroplasia has a 50% chance of passing it to a child, but most cases actually arise from a new spontaneous gene mutation rather than being inherited.",clinical_judgment,Achondroplasia
What serious neurological complication can result from the narrowed foramen magnum in achondroplasia?,"The narrowed foramen magnum in achondroplasia can disrupt the normal flow of fluid between the brain and spinal cord, leading to an abnormal accumulation of fluid in the brain, known as hydrocephalus.","The narrowed foramen magnum may disrupt the normal flow of fluid between the brain and the spinal cord, resulting in the accumulation of too much fluid in the brain (hydrocephalus).","The narrowed foramen magnum in achondroplasia can disrupt cerebrospinal fluid flow, causing hydrocephalus (excess fluid accumulation in the brain).",complication,Achondroplasia
Does achondroplasia affect intelligence or the ability to have children?,"No. Achondroplasia affects bone and cartilage development, but the disease does not affect mental capacity or reproductive ability.","The disease does not affect either mental capacity, or reproductive ability.",No — achondroplasia does not affect mental capacity or reproductive ability.,yes_no,Achondroplasia
"What is malignant hyperthermia, and why is family history important to disclose before general anesthesia?","Malignant hyperthermia is a likely genetically-linked reaction that can occur during general anesthesia, causing rapid irregular heartbeat, breathing problems, very high fever, and muscle tightness or spasms. Because it can run in families, patients should tell their doctor if they or a family member has had this reaction to anesthesia in the past.","In particular, people who have had malignant hyperthermia or whose family members have had malignant hyperthermia during or after being given an anesthetic should inform the physician. Signs of malignant hyperthermia include rapid, irregular heartbeat, breathing problems, very high fever, and muscle tightness or spasms. ||| Malignant hyperthermia—A type of reaction (probably with a genetic origin) that can occur during general anesthesia and in which the patient experiences a high fever, muscle rigidity, and irregular heart rate and blood pressure.","Malignant hyperthermia is a probably-genetic reaction to anesthesia involving rapid irregular heartbeat, breathing problems, very high fever, and muscle rigidity; a family history should be disclosed since it can run in families.",complication,General Anesthesia
Why must patients disclose street drug use to their doctor before receiving general anesthesia?,"Serious and possibly life-threatening reactions can occur when general anesthetics are given to people who use street drugs such as cocaine, marijuana, PCP, amphetamines, barbiturates, heroin, or other narcotics. Disclosing this use helps the doctor avoid dangerous drug interactions.","Serious and possibly life-threatening reactions may occur when general anesthetics are given to people who use street drugs, such as cocaine, marijuana, phencyclidine (PCP or angel dust), amphetamines (uppers), barbiturates (downers), heroin, or other narcotics. Anyone who uses these drugs should make sure their doctor or dentist knows what they have taken.","Disclosure is important because combining general anesthetics with street drugs like cocaine, PCP, amphetamines, or heroin can cause serious, potentially life-threatening reactions.",clinical_judgment,General Anesthesia
"What activities should patients avoid for at least 24 hours after receiving general anesthesia, and why?","For at least 24 hours after general anesthesia, patients should avoid driving, operating machinery, or other activities that could endanger themselves or others, since anesthetics affect the central nervous system and can leave patients drowsy, weak, or with impaired coordination. They should also avoid alcohol and CNS-depressant medications during this period.","For these reasons, anyone who has had general anesthesia should not drive, operate machinery, or perform other activities that could endanger themselves or others for at least 24 hours, or longer if necessary. ||| Patients who have had general anesthesia should not drink alcoholic beverages or take medication that slow down the central nervous system (such as antihistamines, sedatives, tranquilizers, sleep aids, certain pain relievers, muscle relaxants, and anti-seizure medication) for at least 24 hours, except under a doctor's care.","For at least 24 hours after general anesthesia, patients should avoid driving, operating machinery, drinking alcohol, and taking CNS-depressant medications, since lingering drowsiness and impaired coordination make these unsafe.",clinical_impact,General Anesthesia
What is the leading cause of death in aplastic anemia patients treated with blood transfusions alone?,"Patients with the worst-prognosis type of aplastic anemia — associated with very low levels of a particular white blood cell type — have a high chance of dying from overwhelming bacterial infections. In fact, 80% of patients treated with blood transfusions alone die within 18 months to two years.","The worst-prognosis type of aplastic anemia is one associated with very low numbers of a particular type of white blood cell. These patients have a high chance of dying from overwhelming bacterial infections. In fact, 80% of all patients treated with blood transfusions alone die within 18 months to two years.",Overwhelming bacterial infection is the leading cause of death; 80% of aplastic anemia patients treated with transfusions alone die within 18 months to two years.,complication,Aplastic Anemia
Are hereditary forms of aplastic anemia common?,"No. Hereditary aplastic anemia is relatively rare, occurring in conditions such as Fanconi's anemia, Shwachman-Diamond syndrome, and dyskeratosis congenita.","Hereditary aplastic anemia is relatively rare, but does occur in Fanconi's anemia, Shwachman-Diamond syndrome, and dyskeratosis congenita.","No — hereditary aplastic anemia is relatively rare, occurring in conditions like Fanconi's anemia, Shwachman-Diamond syndrome, and dyskeratosis congenita.",yes_no,Aplastic Anemia
How does Broca's aphasia differ from Wernicke's aphasia in terms of speech fluency and comprehension?,"Broca's aphasia involves effortful, halting speech — sometimes complete mutism, sometimes single words or sentences produced with great effort — while hearing comprehension usually remains intact. Wernicke's aphasia, by contrast, involves fluent, uninterrupted speech that is often unnecessary or made-up (unintelligible), along with significant difficulty understanding other people's speech.","Individuals with Broca's aphasia may be completely unable to use speech (mutism) or may be able to use single-word statements or even full sentences, though these sentences may require a great deal of effort to construct... Hearing comprehension is usually not affected, so they are able to understand other people's speech and conversation and can follow commands. ||| Individuals with Wernicke's aphasia speak in long, uninterrupted sentences; however, the words used are frequently unnecessary or even made-up. They have a great deal of difficulty understanding other people's speech, sometimes to the point of being unable to understand spoken language at all.","Broca's aphasia causes effortful, halting speech (sometimes mutism) with preserved comprehension, while Wernicke's aphasia causes fluent but nonsensical speech with significantly impaired comprehension.",comparison,Aphasia
